"MSOA11CD","total_cases"
"E02001252",566
"E02001253",415
"E02001254",438
"E02001255",583
"E02001256",945
"E02001257",766
"E02001258",548
"E02001259",1155
"E02001260",473
"E02001261",765
"E02001262",866
"E02001263",480
"E02001264",725
"E02001265",549
"E02001266",545
"E02001267",547
"E02001268",399
"E02001269",579
"E02001270",507
"E02001271",457
"E02001272",437
"E02001273",536
"E02001274",514
"E02001275",676
"E02001276",590
"E02001277",641
"E02001278",501
"E02001279",478
"E02001280",573
"E02001281",419
"E02001282",578
"E02001283",588
"E02001284",432
"E02001285",569
"E02001286",705
"E02001287",545
"E02001288",681
"E02001289",765
"E02001290",514
"E02001291",717
"E02001292",731
"E02001293",649
"E02001294",729
"E02001295",691
"E02001296",885
"E02001297",682
"E02001298",724
"E02001299",865
"E02001300",891
"E02001301",918
"E02001302",706
"E02001303",738
"E02001304",974
"E02001305",659
"E02001306",668
"E02001307",1213
"E02001308",455
"E02001309",860
"E02001310",782
"E02001311",631
"E02001312",755
"E02001313",657
"E02001314",669
"E02001315",771
"E02001316",542
"E02001317",873
"E02001318",654
"E02001319",738
"E02001320",644
"E02001321",767
"E02001322",628
"E02001323",557
"E02001324",696
"E02001325",746
"E02001326",612
"E02001327",884
"E02001328",1361
"E02001329",896
"E02001330",995
"E02001331",1049
"E02001332",877
"E02001333",975
"E02001334",654
"E02001335",985
"E02001336",743
"E02001337",750
"E02001338",759
"E02001339",619
"E02001340",1204
"E02001341",790
"E02001342",938
"E02001343",702
"E02001344",721
"E02001345",624
"E02001346",829
"E02001347",888
"E02001348",722
"E02001349",1049
"E02001350",860
"E02001351",1129
"E02001352",645
"E02001353",789
"E02001354",906
"E02001355",620
"E02001356",866
"E02001357",802
"E02001358",686
"E02001359",603
"E02001360",858
"E02001361",814
"E02001362",869
"E02001363",756
"E02001364",616
"E02001365",811
"E02001366",862
"E02001367",1043
"E02001368",754
"E02001369",909
"E02001370",619
"E02001371",899
"E02001372",721
"E02001373",789
"E02001374",712
"E02001375",697
"E02001376",798
"E02001377",1119
"E02001378",752
"E02001380",839
"E02001381",866
"E02001382",704
"E02001383",767
"E02001384",1152
"E02001385",832
"E02001386",800
"E02001387",755
"E02001388",866
"E02001389",617
"E02001390",939
"E02001391",592
"E02001392",591
"E02001393",698
"E02001394",775
"E02001395",516
"E02001396",675
"E02001397",636
"E02001398",605
"E02001399",651
"E02001400",657
"E02001401",785
"E02001402",773
"E02001403",548
"E02001404",772
"E02001405",1048
"E02001406",502
"E02001407",389
"E02001408",438
"E02001409",912
"E02001410",602
"E02001411",549
"E02001412",863
"E02001413",948
"E02001414",411
"E02001415",575
"E02001416",630
"E02001417",652
"E02001418",608
"E02001419",778
"E02001420",1114
"E02001421",1074
"E02001422",662
"E02001423",648
"E02001424",1582
"E02001425",1050
"E02001426",533
"E02001427",967
"E02001428",573
"E02001429",416
"E02001430",416
"E02001431",678
"E02001432",786
"E02001433",591
"E02001434",539
"E02001435",582
"E02001436",697
"E02001437",622
"E02001438",534
"E02001439",405
"E02001440",325
"E02001441",447
"E02001442",423
"E02001443",411
"E02001444",454
"E02001445",696
"E02001446",664
"E02001447",578
"E02001448",621
"E02001449",871
"E02001450",668
"E02001451",676
"E02001452",621
"E02001453",823
"E02001454",641
"E02001455",720
"E02001456",591
"E02001457",638
"E02001458",705
"E02001459",724
"E02001460",822
"E02001461",743
"E02001462",693
"E02001463",699
"E02001464",609
"E02001465",705
"E02001466",855
"E02001467",526
"E02001468",623
"E02001469",559
"E02001470",665
"E02001471",551
"E02001472",516
"E02001473",571
"E02001474",487
"E02001475",453
"E02001476",663
"E02001477",692
"E02001478",695
"E02001479",377
"E02001480",575
"E02001481",718
"E02001482",612
"E02001483",524
"E02001484",625
"E02001485",622
"E02001486",839
"E02001487",660
"E02001488",598
"E02001489",446
"E02001490",723
"E02001491",670
"E02001492",451
"E02001493",718
"E02001494",397
"E02001495",698
"E02001496",445
"E02001497",546
"E02001498",573
"E02001499",412
"E02001500",433
"E02001501",576
"E02001502",762
"E02001503",393
"E02001504",509
"E02001505",673
"E02001506",530
"E02001507",392
"E02001508",532
"E02001509",586
"E02001510",448
"E02001511",585
"E02001512",709
"E02001513",590
"E02001514",740
"E02001515",651
"E02001516",623
"E02001517",591
"E02001518",853
"E02001519",723
"E02001520",915
"E02001521",985
"E02001522",740
"E02001523",599
"E02001524",304
"E02001525",635
"E02001526",521
"E02001527",482
"E02001528",858
"E02001529",663
"E02001530",488
"E02001531",584
"E02001532",676
"E02001533",647
"E02001534",787
"E02001535",344
"E02001536",652
"E02001537",611
"E02001538",561
"E02001539",417
"E02001540",1059
"E02001541",908
"E02001542",609
"E02001543",650
"E02001544",651
"E02001545",614
"E02001546",1004
"E02001547",905
"E02001548",690
"E02001549",458
"E02001550",620
"E02001551",494
"E02001552",566
"E02001553",763
"E02001554",412
"E02001555",416
"E02001556",629
"E02001557",815
"E02001558",382
"E02001559",531
"E02001560",910
"E02001561",396
"E02001562",405
"E02001563",602
"E02001564",570
"E02001565",556
"E02001566",591
"E02001567",699
"E02001568",397
"E02001569",582
"E02001570",474
"E02001571",383
"E02001572",653
"E02001573",558
"E02001574",418
"E02001575",579
"E02001576",465
"E02001577",407
"E02001578",923
"E02001579",722
"E02001580",639
"E02001581",454
"E02001582",609
"E02001583",414
"E02001584",454
"E02001585",534
"E02001586",622
"E02001587",439
"E02001588",582
"E02001589",613
"E02001590",620
"E02001591",819
"E02001592",752
"E02001593",717
"E02001594",714
"E02001595",757
"E02001596",579
"E02001597",722
"E02001598",871
"E02001599",538
"E02001600",1156
"E02001601",434
"E02001602",727
"E02001603",525
"E02001604",921
"E02001605",595
"E02001606",633
"E02001607",555
"E02001608",507
"E02001609",485
"E02001610",551
"E02001611",509
"E02001612",292
"E02001613",708
"E02001614",840
"E02001615",485
"E02001616",583
"E02001617",512
"E02001618",606
"E02001619",933
"E02001620",608
"E02001621",515
"E02001622",787
"E02001623",783
"E02001624",792
"E02001625",692
"E02001626",378
"E02001627",461
"E02001628",729
"E02001629",678
"E02001630",1228
"E02001631",564
"E02001632",1403
"E02001633",453
"E02001634",591
"E02001635",382
"E02001636",782
"E02001637",1033
"E02001638",531
"E02001639",371
"E02001640",882
"E02001642",984
"E02001643",330
"E02001646",913
"E02001647",688
"E02001648",873
"E02001649",919
"E02001650",1090
"E02001651",354
"E02001652",1243
"E02001653",646
"E02001654",583
"E02001655",592
"E02001656",527
"E02001657",459
"E02001658",429
"E02001659",483
"E02001660",744
"E02001661",646
"E02001662",624
"E02001663",490
"E02001664",439
"E02001665",561
"E02001666",421
"E02001669",495
"E02001670",444
"E02001671",431
"E02001672",382
"E02001673",376
"E02001674",588
"E02001675",493
"E02001676",340
"E02001678",563
"E02001679",316
"E02001680",408
"E02001681",354
"E02001682",529
"E02001683",653
"E02001684",373
"E02001685",541
"E02001686",454
"E02001688",547
"E02001689",754
"E02001690",407
"E02001691",602
"E02001692",400
"E02001693",343
"E02001694",416
"E02001695",386
"E02001696",671
"E02001697",469
"E02001698",355
"E02001699",488
"E02001700",640
"E02001701",433
"E02001702",566
"E02001703",297
"E02001704",438
"E02001705",520
"E02001706",515
"E02001707",643
"E02001708",927
"E02001709",548
"E02001710",681
"E02001711",804
"E02001712",482
"E02001713",526
"E02001714",595
"E02001715",705
"E02001718",499
"E02001719",505
"E02001720",1050
"E02001721",732
"E02001722",688
"E02001723",545
"E02001724",1039
"E02001725",648
"E02001726",942
"E02001727",671
"E02001728",674
"E02001729",1161
"E02001730",2380
"E02001731",2097
"E02001732",392
"E02001733",952
"E02001734",643
"E02001735",530
"E02001736",1114
"E02001737",403
"E02001738",234
"E02001739",561
"E02001740",240
"E02001741",405
"E02001742",251
"E02001743",447
"E02001744",441
"E02001745",383
"E02001746",418
"E02001747",240
"E02001748",443
"E02001749",392
"E02001750",372
"E02001751",362
"E02001752",417
"E02001753",266
"E02001754",262
"E02001755",602
"E02001756",552
"E02001757",369
"E02001758",322
"E02001759",405
"E02001760",544
"E02001761",327
"E02001762",436
"E02001763",435
"E02001764",531
"E02001765",530
"E02001766",444
"E02001767",511
